City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Bandar-E Lengeh,IR,26.5579,54.8807,92.61,64,50,2.89,scattered clouds
126,Yakeshi,CN,49.2833,120.7333,74.26,62,37,12.03,scattered clouds
127,Gasa,PS,31.5,34.4667,78.78,71,0,1.92,clear sky
128,Kahului,US,20.8947,-156.47,80.62,78,40,20.71,scattered clouds
129,Fortuna,US,40.5982,-124.1573,68.18,93,40,0.0,scattered clouds
130,La Asuncion,VE,11.0333,-63.8628,77.0,90,15,9.89,few clouds
131,Katsuura,JP,35.1333,140.3,87.91,73,100,18.1,overcast clouds
132,Pabbi,PK,34.0106,71.7989,84.88,63,73,4.76,broken clouds
133,Hasaki,JP,35.7333,140.8333,90.28,77,100,22.3,overcast clouds
134,Mehamn,NO,71.0357,27.8492,46.35,93,90,2.3,light intensity drizzle
135,Rizhao,CN,35.4275,119.4553,77.61,89,100,20.58,light rain
136,Wanaka,NZ,-44.7,169.15,49.53,80,78,3.83,broken clouds
137,Tongzi,CN,28.7829,105.0877,89.49,59,7,1.28,clear sky
138,Tecoanapa,MX,16.5167,-98.75,80.89,73,97,2.24,overcast clouds
139,Vestmannaeyjar,IS,63.4427,-20.2734,52.9,84,33,1.77,scattered clouds
140,Broome,US,42.2506,-75.833,66.58,97,90,1.01,mist
141,Mar Del Plata,AR,-38.0023,-57.5575,45.12,64,90,4.0,shower rain
142,Longhua,CN,23.6137,114.1919,99.32,42,16,3.6,few clouds
143,Dariba,IN,24.95,74.1333,77.11,83,100,15.88,overcast clouds
144,Gojra,PK,31.1487,72.6866,94.37,50,70,13.94,moderate rain
145,Krasnogorskoye,RU,52.2953,86.1979,65.93,64,21,2.62,few clouds
146,Neiafu,TO,-18.65,-173.9833,70.48,94,90,5.75,light rain
147,Shahreza,IR,32.0339,51.8794,78.26,22,0,2.3,clear sky
148,Plettenberg Bay,ZA,-34.0527,23.3716,54.46,86,96,8.39,light rain
149,Aizkraukle,LV,56.6048,25.2553,65.89,98,88,4.07,overcast clouds
150,Pangnirtung,CA,66.1451,-65.7125,49.42,74,100,2.24,overcast clouds
151,Ilulissat,GL,69.2167,-51.1,53.62,66,100,10.36,overcast clouds
152,Leningradskiy,RU,69.3833,178.4167,33.58,98,100,9.89,moderate rain
153,Antigonish,CA,45.6169,-61.9986,65.93,96,100,3.0,overcast clouds
154,Sabang,ID,5.8933,95.3214,83.35,74,92,20.74,overcast clouds
155,Bonthe,SL,7.5264,-12.505,76.51,85,100,9.35,overcast clouds
156,Cherskiy,RU,68.75,161.3,37.49,79,100,17.58,overcast clouds
157,Bredasdorp,ZA,-34.5322,20.0403,53.13,63,100,7.36,overcast clouds
158,Iqaluit,CA,63.7506,-68.5145,43.7,75,100,8.01,overcast clouds
159,Bambous Virieux,MU,-20.3428,57.7575,68.22,90,100,21.56,moderate rain
160,Kolyvan,RU,55.3053,82.7391,67.62,66,100,3.91,overcast clouds
