City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
543,Pemba,MZ,76.69,light rain,-12.974,40.5178,Guesthouse Samotina
548,Pogradec,AL,78.8,clear sky,40.9025,20.6525,Hotel Victoria
553,Auchi,NG,80.46,light rain,7.0667,6.2667,LECKY PLACE & HOTEL
560,Shenjiamen,CN,78.53,moderate rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
562,Morgan City,US,82.4,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
567,Russell,US,79.83,clear sky,32.3502,-85.1999,Macs
568,Maumere,ID,75.54,scattered clouds,-8.6199,122.2111,Sylvia Hotel
572,Durant,US,79.29,clear sky,33.994,-96.3708,"Holiday Inn Express & Suites Durant, an IHG Hotel"
577,Boizenburg,DE,83.41,clear sky,53.3833,10.7167,Hotel Boizenburger Hof
578,Euclid,US,76.82,mist,41.5931,-81.5268,Econo Lodge Wickliffe - Cleveland East
579,Marienburg,PL,85.87,broken clouds,54.0359,19.0266,Hotel Centrum Malbork
581,Djambala,CG,89.73,few clouds,-2.5447,14.7533,Hotel Ravin D'or
583,Klaipeda,LT,78.85,broken clouds,55.7172,21.1175,Amberton Hotel Klaipėda
585,Gribanovskiy,RU,75.07,overcast clouds,51.4579,41.9764,Провинция
588,Chimore,BO,77.13,clear sky,-16.9833,-65.1333,Bichito
591,Norrtalje,SE,82.49,clear sky,59.758,18.705,Norrtälje Vandrarhem Hvilan
592,Iracoubo,GF,77.29,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
593,Kulhudhuffushi,MV,80.19,moderate rain,6.6221,73.07,Hondaafushi Island Resort
596,Benguela,AO,76.05,few clouds,-12.5763,13.4055,Hotel Praia Morena
597,Gustrow,DE,83.07,broken clouds,53.7972,12.1734,Kurhaus am Inselsee
599,Trairi,BR,86.31,scattered clouds,-3.2778,-39.2689,janelas do mar
600,Hamilton,US,79.92,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
602,Mattru,SL,80.1,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
604,Karlstad,SE,79.36,clear sky,59.3793,13.5036,Scandic Karlstad City
611,Tabou,CI,78.22,overcast clouds,4.423,-7.3528,hotêl doufoulougou
613,Cururupu,BR,82.78,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
616,Kaohsiung,TW,85.03,broken clouds,22.6163,120.3133,御宿商旅-中山館
618,Mazagao,BR,81.9,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
629,Tjome,NO,87.13,few clouds,59.1109,10.3933,Scandic Havna Tjøme
632,Aras,ES,75.61,few clouds,42.5617,-2.356,Jardines de Viana Spa
633,Acarau,BR,86.86,clear sky,-2.8856,-40.12,castelo pizzaria
634,Joigny,FR,77.04,broken clouds,47.9829,3.401,La Côte Saint Jacques & Spa
635,Mani,CO,75.29,overcast clouds,4.8172,-72.2886,Hotel Belgrado
637,Manthani,IN,84.63,scattered clouds,18.65,79.6667,Arepelli kumar muncipal vice chairman
640,Matale,LK,75.49,overcast clouds,7.4721,80.6234,Anil's Inn
645,Skerries,IE,76.95,overcast clouds,53.5828,-6.1083,The Redbank Guesthouse
646,Bitung,ID,79.65,overcast clouds,1.4451,125.1824,K2 Lembeh
653,Felipe Carrillo Puerto,MX,78.33,few clouds,19.5833,-88.05,Hotel La Ceiba
656,La Romana,DO,84.56,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
659,Kota Kinabalu,MY,84.18,few clouds,5.9749,116.0724,Gaya Centre Hotel
663,Mao,ES,82.96,clear sky,39.8885,4.2658,ARTIEM Capri
665,Colares,PT,76.19,broken clouds,38.7992,-9.4469,Arribas Sintra Hotel
669,Orocue,CO,76.5,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
671,Morehead,US,80.85,clear sky,37.2711,-87.1764,CCI Express Inn
675,Loiza,PR,85.96,scattered clouds,18.4313,-65.8802,Malibu Beachfront
676,Hirara,JP,83.89,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
